country,date,new_tests,tests_cumulative,jhu_ID,source,country_name_id
Scotland,2020-05-20,2173,92594,Scotland,https://www.gov.scot/publications/coronavirus-covid-19-daily-data-for-scotland/,Scotland
Scotland,2020-05-21,2579,95173,Scotland,https://www.gov.scot/publications/coronavirus-covid-19-daily-data-for-scotland/,Scotland
Scotland,2020-05-22,2434,97607,Scotland,https://www.gov.scot/publications/coronavirus-covid-19-daily-data-for-scotland/,Scotland
Scotland,2020-05-23,2325,99932,Scotland,https://www.gov.scot/publications/coronavirus-covid-19-daily-data-for-scotland/,Scotland
Scotland,2020-05-24,1781,101713,Scotland,https://www.gov.scot/publications/coronavirus-covid-19-daily-data-for-scotland/,Scotland
Scotland,2020-05-25,1795,103508,Scotland,https://www.gov.scot/publications/coronavirus-covid-19-daily-data-for-scotland/,Scotland
Scotland,2020-05-26,0,103508,Scotland,https://www.gov.scot/publications/coronavirus-covid-19-daily-data-for-scotland/,Scotland
Scotland,2020-05-27,3476,106984,Scotland,https://www.gov.scot/publications/coronavirus-covid-19-daily-data-for-scotland/,Scotland
Scotland,2020-05-28,0,106984,Scotland,https://www.gov.scot/publications/coronavirus-covid-19-daily-data-for-scotland/,Scotland
Scotland,2020-05-29,4101,111085,Scotland,https://www.gov.scot/publications/coronavirus-covid-19-daily-data-for-scotland/,Scotland
Scotland,2020-05-30,1899,112984,Scotland,https://www.gov.scot/publications/coronavirus-covid-19-daily-data-for-scotland/,Scotland
Scotland,2020-05-31,1338,114322,Scotland,https://www.gov.scot/publications/coronavirus-covid-19-daily-data-for-scotland/,Scotland
Scotland,2020-06-01,937,115259,Scotland,https://www.gov.scot/publications/coronavirus-covid-19-daily-data-for-scotland/,Scotland
Senegal,2020-03-02,2,2,Senegal,http://www.sante.gouv.sn/Pr_sentation/coronavirus-informations-officielles-et-quotidiennes-du-msas,Senegal
Senegal,2020-03-03,0,2,Senegal,http://www.sante.gouv.sn/Pr_sentation/coronavirus-informations-officielles-et-quotidiennes-du-msas,Senegal
Senegal,2020-03-04,0,2,Senegal,http://www.sante.gouv.sn/Pr_sentation/coronavirus-informations-officielles-et-quotidiennes-du-msas,Senegal
Senegal,2020-03-05,0,2,Senegal,http://www.sante.gouv.sn/Pr_sentation/coronavirus-informations-officielles-et-quotidiennes-du-msas,Senegal
Senegal,2020-03-06,2,4,Senegal,http://www.sante.gouv.sn/Pr_sentation/coronavirus-informations-officielles-et-quotidiennes-du-msas,Senegal
Senegal,2020-03-07,2,6,Senegal,http://www.sante.gouv.sn/Pr_sentation/coronavirus-informations-officielles-et-quotidiennes-du-msas,Senegal
Senegal,2020-03-08,2,8,Senegal,http://www.sante.gouv.sn/Pr_sentation/coronavirus-informations-officielles-et-quotidiennes-du-msas,Senegal
Senegal,2020-03-09,6,14,Senegal,http://www.sante.gouv.sn/Pr_sentation/coronavirus-informations-officielles-et-quotidiennes-du-msas,Senegal
Senegal,2020-03-10,1,15,Senegal,http://www.sante.gouv.sn/Pr_sentation/coronavirus-informations-officielles-et-quotidiennes-du-msas,Senegal
Senegal,2020-03-11,8,23,Senegal,http://www.sante.gouv.sn/Pr_sentation/coronavirus-informations-officielles-et-quotidiennes-du-msas,Senegal
Senegal,2020-03-12,6,29,Senegal,http://www.sante.gouv.sn/Pr_sentation/coronavirus-informations-officielles-et-quotidiennes-du-msas,Senegal
Senegal,2020-03-13,12,41,Senegal,http://www.sante.gouv.sn/Pr_sentation/coronavirus-informations-officielles-et-quotidiennes-du-msas,Senegal
Senegal,2020-03-14,3,44,Senegal,http://www.sante.gouv.sn/Pr_sentation/coronavirus-informations-officielles-et-quotidiennes-du-msas,Senegal
Senegal,2020-03-15,2,46,Senegal,http://www.sante.gouv.sn/Pr_sentation/coronavirus-informations-officielles-et-quotidiennes-du-msas,Senegal
Senegal,2020-03-16,1,47,Senegal,http://www.sante.gouv.sn/Pr_sentation/coronavirus-informations-officielles-et-quotidiennes-du-msas,Senegal
Senegal,2020-03-17,44,91,Senegal,http://www.sante.gouv.sn/Pr_sentation/coronavirus-informations-officielles-et-quotidiennes-du-msas,Senegal
Senegal,2020-03-18,27,118,Senegal,http://www.sante.gouv.sn/Pr_sentation/coronavirus-informations-officielles-et-quotidiennes-du-msas,Senegal
Senegal,2020-03-19,22,140,Senegal,http://www.sante.gouv.sn/Pr_sentation/coronavirus-informations-officielles-et-quotidiennes-du-msas,Senegal
Senegal,2020-03-20,56,196,Senegal,http://www.sante.gouv.sn/Pr_sentation/coronavirus-informations-officielles-et-quotidiennes-du-msas,Senegal
Senegal,2020-03-21,31,227,Senegal,http://www.sante.gouv.sn/Pr_sentation/coronavirus-informations-officielles-et-quotidiennes-du-msas,Senegal
Senegal,2020-03-22,85,312,Senegal,http://www.sante.gouv.sn/Pr_sentation/coronavirus-informations-officielles-et-quotidiennes-du-msas,Senegal
Senegal,2020-03-23,60,372,Senegal,http://www.sante.gouv.sn/Pr_sentation/coronavirus-informations-officielles-et-quotidiennes-du-msas,Senegal
Senegal,2020-03-24,59,431,Senegal,http://www.sante.gouv.sn/Pr_sentation/coronavirus-informations-officielles-et-quotidiennes-du-msas,Senegal
Senegal,2020-03-25,161,592,Senegal,http://www.sante.gouv.sn,Senegal
Senegal,2020-03-26,130,722,Senegal,http://www.sante.gouv.sn,Senegal
