県名,市名,地域名,緯度経度,3月31日,4月1日,4月2日,4月3日,4月4日,4月5日,4月6日,4月7日,4月8日,4月9日,4月10日,4月11日,4月12日,4月13日,4月14日,4月15日,4月16日,4月17日,4月18日,4月19日,4月20日,4月21日,4月22日,4月23日,4月24日,4月25日,4月26日,4月27日,4月28日,4月29日,4月30日,5月1日,5月2日,5月3日,5月4日,5月5日,5月6日,5月7日,5月8日,5月9日
福島県,須賀川市,福島県須賀川市,"37.2929,140.357",0,0,1,1,1,3,3,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
福島県,県南管内,福島県県南管内,"37.1308,140.2166",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
福島県,県北管内,福島県県北管内,"36.5272,140.5315",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
福島県,本宮市,福島県本宮市,"37.5131,140.3939",0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,4,6,6,6,7,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10
福島県,二本松市,福島県二本松市,"37.5849,140.4311",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
福島県,田村市,福島県田村市,"37.4406,140.5764",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
福島県,広野町,福島県広野町,"37.2146,140.9945",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
福島県,大玉村,福島県大玉村,"37.5344,140.3712",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
福島県,相馬市,福島県相馬市,"37.7966,140.9195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
福島県,古殿町,福島県古殿町,"37.0891,140.5556",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
茨城県,ひたちなか市,茨城県ひたちなか市,"36.3966,140.5347",1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
茨城県,つくば市,茨城県つくば市,"36.0835,140.0766",9,13,13,16,17,17,18,20,20,20,20,20,21,21,21,21,21,21,21,22,25,25,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
茨城県,県南地域,茨城県県南地域,"35.9174,140.0253",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
茨城県,土浦市,茨城県土浦市,"36.0783,140.2043",1,1,1,1,1,1,2,2,2,2,2,2,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
茨城県,桜川市,茨城県桜川市,"36.3273,140.0904",2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
茨城県,牛久市,茨城県牛久市,"35.9794,140.1495",1,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
茨城県,つくばみらい市,茨城県つくばみらい市,"35.963,140.037",2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
茨城県,龍ケ崎市,茨城県龍ケ崎市,"35.9116,140.1823",1,1,1,2,2,2,2,2,2,2,3,5,5,5,5,5,5,5,5,5,5,6,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
茨城県,取手市,茨城県取手市,"35.9114,140.0505",1,1,1,1,1,2,2,2,2,4,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9
茨城県,守谷市,茨城県守谷市,"35.9514,139.9754",1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,6,6,6,6,7,7,7,7,7
茨城県,神栖市,茨城県神栖市,"35.89,140.6645",0,8,8,13,15,15,18,18,18,18,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21
茨城県,古河市,茨城県古河市,"36.1846,139.7025",0,1,1,2,4,4,4,6,6,6,6,6,6,6,7,7,9,11,11,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
茨城県,筑西市,茨城県筑西市,"36.3071,139.9831",0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
茨城県,水戸市,茨城県水戸市,"36.3665,140.471",0,0,1,1,1,1,1,1,1,2,3,5,5,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9
茨城県,つくば管内,茨城県つくば管内,"36.0632,140.1023",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
茨城県,常陸太田市,茨城県常陸太田市,"36.5383,140.531",0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
茨城県,阿見町,茨城県阿見町,"36.0308,140.2148",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
茨城県,鹿嶋市,茨城県鹿嶋市,"35.9658,140.6448",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
茨城県,境町,茨城県境町,"36.1084,139.795",0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,7,8,10,10,10,10,11,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
茨城県,日立市,茨城県日立市,"36.5992,140.6515",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
茨城県,結城市,茨城県結城市,"36.3054,139.8766",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
茨城県,那珂市,茨城県那珂市,"36.4575,140.4869",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
茨城県,坂東市,茨城県坂東市,"36.0487,139.8883",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
茨城県,常総市,茨城県常総市,"36.0235,139.9936",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
茨城県,小美玉市,茨城県小美玉市,"36.2393,140.3526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
