date,ja,en,count,regions,lat,lng
2020-02-07,京都,Kyoto Prefecture,2,4,35.25194444,135.4458333
2020-02-08,京都,Kyoto Prefecture,2,4,35.25194444,135.4458333
2020-02-09,京都,Kyoto Prefecture,2,4,35.25194444,135.4458333
2020-02-10,京都,Kyoto Prefecture,2,4,35.25194444,135.4458333
2020-02-11,京都,Kyoto Prefecture,2,4,35.25194444,135.4458333
2020-02-12,京都,Kyoto Prefecture,2,4,35.25194444,135.4458333
2020-02-13,京都,Kyoto Prefecture,2,4,35.25194444,135.4458333
2020-02-14,京都,Kyoto Prefecture,2,4,35.25194444,135.4458333
2020-02-15,京都,Kyoto Prefecture,2,4,35.25194444,135.4458333
2020-02-16,京都,Kyoto Prefecture,2,4,35.25194444,135.4458333
2020-02-17,京都,Kyoto Prefecture,2,4,35.25194444,135.4458333
2020-02-18,京都,Kyoto Prefecture,2,4,35.25194444,135.4458333
2020-02-19,京都,Kyoto Prefecture,2,4,35.25194444,135.4458333
2020-02-20,京都,Kyoto Prefecture,2,4,35.25194444,135.4458333
2020-02-21,京都,Kyoto Prefecture,2,4,35.25194444,135.4458333
2020-02-22,京都,Kyoto Prefecture,2,4,35.25194444,135.4458333
2020-02-23,京都,Kyoto Prefecture,2,4,35.25194444,135.4458333
2020-02-24,京都,Kyoto Prefecture,2,4,35.25194444,135.4458333
2020-02-25,京都,Kyoto Prefecture,2,4,35.25194444,135.4458333
2020-02-26,京都,Kyoto Prefecture,2,4,35.25194444,135.4458333
2020-02-27,京都,Kyoto Prefecture,2,4,35.25194444,135.4458333
2020-02-28,京都,Kyoto Prefecture,2,4,35.25194444,135.4458333
2020-02-29,京都,Kyoto Prefecture,2,4,35.25194444,135.4458333
2020-03-01,京都,Kyoto Prefecture,2,4,35.25194444,135.4458333
2020-03-02,京都,Kyoto Prefecture,2,4,35.25194444,135.4458333
2020-03-03,京都,Kyoto Prefecture,3,4,35.25194444,135.4458333
2020-03-04,京都,Kyoto Prefecture,5,4,35.25194444,135.4458333
2020-03-05,京都,Kyoto Prefecture,6,4,35.25194444,135.4458333
2020-03-06,京都,Kyoto Prefecture,7,4,35.25194444,135.4458333
2020-03-07,京都,Kyoto Prefecture,8,4,35.25194444,135.4458333
2020-03-08,京都,Kyoto Prefecture,8,4,35.25194444,135.4458333
2020-03-09,京都,Kyoto Prefecture,12,4,35.25194444,135.4458333
2020-03-10,京都,Kyoto Prefecture,13,4,35.25194444,135.4458333
2020-03-11,京都,Kyoto Prefecture,15,4,35.25194444,135.4458333
2020-03-12,京都,Kyoto Prefecture,17,4,35.25194444,135.4458333
2020-03-13,京都,Kyoto Prefecture,17,4,35.25194444,135.4458333
2020-03-14,京都,Kyoto Prefecture,17,4,35.25194444,135.4458333
2020-03-15,京都,Kyoto Prefecture,17,4,35.25194444,135.4458333
2020-03-16,京都,Kyoto Prefecture,17,4,35.25194444,135.4458333
2020-03-17,京都,Kyoto Prefecture,19,4,35.25194444,135.4458333
2020-03-18,京都,Kyoto Prefecture,21,4,35.25194444,135.4458333
2020-03-19,京都,Kyoto Prefecture,21,4,35.25194444,135.4458333
2020-03-20,京都,Kyoto Prefecture,22,4,35.25194444,135.4458333
2020-03-21,京都,Kyoto Prefecture,23,4,35.25194444,135.4458333
2020-03-22,京都,Kyoto Prefecture,24,4,35.25194444,135.4458333
2020-03-23,京都,Kyoto Prefecture,25,4,35.25194444,135.4458333
2020-03-24,京都,Kyoto Prefecture,27,4,35.25194444,135.4458333
2020-03-25,京都,Kyoto Prefecture,31,4,35.25194444,135.4458333
2020-03-26,京都,Kyoto Prefecture,34,4,35.25194444,135.4458333
2020-03-27,京都,Kyoto Prefecture,35,4,35.25194444,135.4458333
2020-03-28,京都,Kyoto Prefecture,40,4,35.25194444,135.4458333
2020-03-29,京都,Kyoto Prefecture,47,4,35.25194444,135.4458333
2020-03-30,京都,Kyoto Prefecture,56,4,35.25194444,135.4458333
2020-03-31,京都,Kyoto Prefecture,69,4,35.25194444,135.4458333
2020-04-01,京都,Kyoto Prefecture,76,4,35.25194444,135.4458333
2020-04-02,京都,Kyoto Prefecture,88,4,35.25194444,135.4458333
2020-04-03,京都,Kyoto Prefecture,106,4,35.25194444,135.4458333
2020-04-04,京都,Kyoto Prefecture,116,4,35.25194444,135.4458333
2020-04-05,京都,Kyoto Prefecture,125,4,35.25194444,135.4458333
2020-04-06,京都,Kyoto Prefecture,133,4,35.25194444,135.4458333
2020-04-07,京都,Kyoto Prefecture,145,4,35.25194444,135.4458333
2020-04-08,京都,Kyoto Prefecture,155,4,35.25194444,135.4458333
2020-04-09,京都,Kyoto Prefecture,165,4,35.25194444,135.4458333
2020-04-10,京都,Kyoto Prefecture,174,4,35.25194444,135.4458333
2020-04-11,京都,Kyoto Prefecture,181,4,35.25194444,135.4458333
2020-04-12,京都,Kyoto Prefecture,193,4,35.25194444,135.4458333
2020-04-13,京都,Kyoto Prefecture,205,4,35.25194444,135.4458333
2020-04-14,京都,Kyoto Prefecture,210,4,35.25194444,135.4458333
2020-04-15,京都,Kyoto Prefecture,215,4,35.25194444,135.4458333
2020-04-16,京都,Kyoto Prefecture,225,4,35.25194444,135.4458333
2020-04-17,京都,Kyoto Prefecture,235,4,35.25194444,135.4458333
2020-04-18,京都,Kyoto Prefecture,242,4,35.25194444,135.4458333
2020-04-19,京都,Kyoto Prefecture,251,4,35.25194444,135.4458333
2020-01-15,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-01-16,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-01-17,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-01-18,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-01-19,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-01-20,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-01-21,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-01-22,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-01-23,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-01-24,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-01-25,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-01-26,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-01-27,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-01-28,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-01-29,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-01-30,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-01-31,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-02-01,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-02-02,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-02-03,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-02-04,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-02-05,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-02-06,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-02-07,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-02-08,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-02-09,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-02-10,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-02-11,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-02-12,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-02-13,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-02-14,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-02-15,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-02-16,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-02-17,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-02-18,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-02-19,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-02-20,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-02-21,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-02-22,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-02-23,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-02-24,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
2020-02-25,佐賀,Saga Prefecture,0,7,33.28527778,130.1169444
