date,tests,confirmed,deaths,recovered,hosp,vent,icu,severe,population,administrative_area_level,administrative_area_level_1,administrative_area_level_2,jis_code
2020-08-12,1058164,51460,1065,34875,14048,,,177,126216142,1,Japan,,
2020-08-13,1085322,52633,1076,36114,13724,,,203,126216142,1,Japan,,
2020-08-14,1107537,53993,1085,37471,13428,,,211,126216142,1,Japan,,
2020-08-15,1164029,55220,1092,38932,13296,,,229,126216142,1,Japan,,
2020-08-16,1177313,56237,1103,40075,13279,,,232,126216142,1,Japan,,
2020-08-17,1186468,56884,1118,41184,13117,,,243,126216142,1,Japan,,
2020-08-18,1214145,57800,1134,42274,13062,,,243,126216142,1,Japan,,
2020-08-19,1236180,58869,1148,43820,12357,,,239,126216142,1,Japan,,
2020-08-20,1259422,60047,1159,45251,11925,,,237,126216142,1,Japan,,
2020-08-21,1282693,61084,1174,46450,11913,,,243,126216142,1,Japan,,
2020-08-22,1306128,62068,1180,47609,11764,,,243,126216142,1,Japan,,
2020-08-23,1321079,62812,1189,48531,11873,,,254,126216142,1,Japan,,
2020-08-24,1333884,63305,1202,49308,11846,,,259,126216142,1,Japan,,
2020-08-25,1357628,64020,1216,50413,11330,,,252,126216142,1,Japan,,
2020-08-26,1376783,64923,1229,51673,10754,,,246,126216142,1,Japan,,
2020-08-27,1397400,65786,1240,52806,10418,,,238,126216142,1,Japan,,
2020-08-28,1420589,66662,1260,53976,10153,,,227,126216142,1,Japan,,
2020-08-29,1440826,67506,1271,55321,9783,,,230,126216142,1,Japan,,
2020-08-30,1455610,68106,1285,56144,9785,,,234,126216142,1,Japan,,
2020-08-31,1467132,68542,1299,56787,9736,,,236,126216142,1,Japan,,
2020-09-01,1490975,69174,1313,57816,9224,,,234,126216142,1,Japan,,
2020-09-02,1510462,69766,1326,58419,9212,,,225,126216142,1,Japan,,
2020-09-03,1536221,70423,1334,59517,8701,,,218,126216142,1,Japan,,
2020-09-04,1560505,71010,1351,60400,8472,,,214,126216142,1,Japan,,
2020-09-05,1577444,71608,1360,61442,8047,,,210,126216142,1,Japan,,
2020-09-06,1590895,72059,1368,62063,7964,,,211,126216142,1,Japan,,
2020-09-07,1595070,72367,1379,62523,7926,,,209,126216142,1,Japan,,
