code,prefecture,total,first,second,category,date
6,山形県,51586,34560,17026,medical,20210514
7,福島県,79585,56155,23430,medical,20210514
8,茨城県,114919,77803,37116,medical,20210514
9,栃木県,78403,51716,26687,medical,20210514
10,群馬県,81215,54321,26894,medical,20210514
11,埼玉県,255912,173714,82198,medical,20210514
12,千葉県,202614,136902,65712,medical,20210514
13,東京都,498522,338771,159751,medical,20210514
14,神奈川県,279985,206880,73105,medical,20210514
15,新潟県,94999,62075,32924,medical,20210514
16,富山県,52079,33970,18109,medical,20210514
17,石川県,57008,36959,20049,medical,20210514
18,福井県,47698,33311,14387,medical,20210514
19,山梨県,29310,20519,8791,medical,20210514
20,長野県,86514,57947,28567,medical,20210514
21,岐阜県,85321,55088,30233,medical,20210514
22,静岡県,132562,93567,38995,medical,20210514
23,愛知県,297030,205364,91666,medical,20210514
24,三重県,81601,53575,28026,medical,20210514
25,滋賀県,56686,38688,17998,medical,20210514
26,京都府,103673,69143,34530,medical,20210514
27,大阪府,303189,201181,102008,medical,20210514
28,兵庫県,184990,122394,62596,medical,20210514
29,奈良県,61471,43549,17922,medical,20210514
30,和歌山県,49393,31665,17728,medical,20210514
31,鳥取県,30767,19833,10934,medical,20210514
32,島根県,35045,24374,10671,medical,20210514
33,岡山県,90758,64248,26510,medical,20210514
34,広島県,129875,87198,42677,medical,20210514
35,山口県,77621,52128,25493,medical,20210514
36,徳島県,49262,33161,16101,medical,20210514
37,香川県,45931,29299,16632,medical,20210514
38,愛媛県,74698,49689,25009,medical,20210514
39,高知県,45924,28322,17602,medical,20210514
40,福岡県,202228,138038,64190,medical,20210514
41,佐賀県,57046,36610,20436,medical,20210514
42,長崎県,77636,50884,26752,medical,20210514
43,熊本県,103815,71014,32801,medical,20210514
44,大分県,66567,43704,22863,medical,20210514
45,宮崎県,56057,35780,20277,medical,20210514
46,鹿児島県,91335,61409,29926,medical,20210514
47,沖縄県,66704,42495,24209,medical,20210514
1,北海道,266698,174981,91717,medical,20210521
2,青森県,66790,40638,26152,medical,20210521
3,岩手県,77013,46590,30423,medical,20210521
4,宮城県,120307,75248,45059,medical,20210521
5,秋田県,55608,31983,23625,medical,20210521
6,山形県,63341,38741,24600,medical,20210521
7,福島県,98596,62448,36148,medical,20210521
8,茨城県,146926,92277,54649,medical,20210521
9,栃木県,96906,58072,38834,medical,20210521
10,群馬県,102904,63057,39847,medical,20210521
11,埼玉県,321138,197042,124096,medical,20210521
12,千葉県,257328,160839,96489,medical,20210521
13,東京都,631930,386025,245905,medical,20210521
14,神奈川県,361283,229503,131780,medical,20210521
15,新潟県,115754,66971,48783,medical,20210521
16,富山県,64935,38495,26440,medical,20210521
17,石川県,71619,41724,29895,medical,20210521
18,福井県,60354,36322,24032,medical,20210521
19,山梨県,41628,26774,14854,medical,20210521
20,長野県,107948,65573,42375,medical,20210521
21,岐阜県,108707,67526,41181,medical,20210521
22,静岡県,166156,104286,61870,medical,20210521
23,愛知県,370613,226345,144268,medical,20210521
