日付,都道府県略称,陽性者数,検査人数
20200406,香川,2,344
20200406,愛媛,12,350
20200406,高知,31,498
20200406,福岡,109,1595
20200406,佐賀,8,189
20200406,長崎,9,505
20200406,熊本,20,1144
20200406,大分,31,1739
20200406,宮崎,6,356
20200406,鹿児島,3,346
20200406,沖縄,9,430
20200407,北海道,194,2445
20200407,青森,11,233
20200407,岩手,0,86
20200407,宮城,26,514
20200407,秋田,11,419
20200407,山形,13,434
20200407,福島,16,328
20200407,茨城,71,1806
20200407,栃木,14,759
20200407,群馬,26,1361
20200407,埼玉,195,1647
20200407,千葉,253,1297
20200407,東京,1123,4422
20200407,神奈川,261,1799
20200407,新潟,32,1345
20200407,富山,11,381
20200407,石川,45,384
20200407,福井,57,335
20200407,山梨,14,749
20200407,長野,14,736
20200407,岐阜,51,966
20200407,静岡,10,1203
20200407,愛知,237,3236
20200407,三重,13,759
20200407,滋賀,18,334
20200407,京都,119,1472
20200407,大阪,429,1751
20200407,兵庫,201,3054
20200407,奈良,26,374
20200407,和歌山,27,1642
20200407,鳥取,0,242
20200407,島根,0,166
20200407,岡山,11,479
20200407,広島,16,1348
20200407,山口,12,449
20200407,徳島,3,174
20200407,香川,2,371
20200407,愛媛,14,407
20200407,高知,34,565
20200407,福岡,113,2415
20200407,佐賀,8,223
20200407,長崎,9,665
20200407,熊本,20,1420
20200407,大分,32,1843
20200407,宮崎,7,425
20200407,鹿児島,3,414
20200407,沖縄,15,480
20200408,北海道,198,2476
20200408,青森,11,249
20200408,岩手,0,104
20200408,宮城,27,609
20200408,秋田,11,443
20200408,山形,19,527
20200408,福島,24,346
20200408,茨城,77,1927
20200408,栃木,15,784
20200408,群馬,29,1380
20200408,埼玉,209,1776
20200408,千葉,284,3069
20200408,東京,1203,4757
20200408,神奈川,279,1996
20200408,新潟,34,1413
20200408,富山,12,435
20200408,石川,51,430
20200408,福井,57,378
20200408,山梨,19,828
20200408,長野,14,762
20200408,岐阜,51,988
20200408,静岡,10,1221
20200408,愛知,258,3295
20200408,三重,13,781
20200408,滋賀,18,379
20200408,京都,139,1683
20200408,大阪,482,1792
20200408,兵庫,216,3151
20200408,奈良,28,452
20200408,和歌山,28,1702
20200408,鳥取,0,249
20200408,島根,0,170
20200408,岡山,12,496
20200408,広島,19,1380
20200408,山口,13,455
20200408,徳島,3,193
20200408,香川,2,398
20200408,愛媛,23,418
20200408,高知,36,591
20200408,福岡,136,2718
20200408,佐賀,9,245
20200408,長崎,9,709
20200408,熊本,21,1461
20200408,大分,32,1862
20200408,宮崎,7,453
20200408,鹿児島,3,449
20200408,沖縄,27,521
20200409,北海道,208,2488
20200409,青森,12,260
20200409,岩手,0,119
20200409,宮城,34,558
20200409,秋田,11,463
20200409,山形,22,663
20200409,福島,29,412
20200409,茨城,77,1927
20200409,栃木,21,831
20200409,群馬,29,1423
20200409,埼玉,242,1839
20200409,千葉,317,1500
20200409,東京,1347,4992
20200409,神奈川,327,2203
20200409,新潟,37,1462
20200409,富山,14,499
20200409,石川,66,472
20200409,福井,67,407
20200409,山梨,22,887
20200409,長野,19,783
20200409,岐阜,69,1046
20200409,静岡,15,1295
20200409,愛知,278,3467
20200409,三重,13,824
20200409,滋賀,24,409
20200409,京都,149,1787
20200409,大阪,525,1792
20200409,兵庫,216,3327
20200409,奈良,30,482
20200409,和歌山,29,1756
20200409,鳥取,0,258
20200409,島根,0,185
20200409,岡山,15,534
20200409,広島,23,1486
20200409,山口,17,513
20200409,徳島,3,206
20200409,香川,3,415
20200409,愛媛,25,450
20200409,高知,37,646
20200409,福岡,161,3106
20200409,佐賀,11,271
20200409,長崎,12,813
20200409,熊本,23,1552
20200409,大分,41,1907
20200409,宮崎,12,498
20200409,鹿児島,3,483
20200409,沖縄,32,588
20200410,北海道,226,2488
20200410,青森,14,278
20200410,岩手,0,127
20200410,宮城,36,558
20200410,秋田,11,484
20200410,山形,27,663
20200410,福島,33,482
20200410,茨城,81,2140
20200410,栃木,31,871
20200410,群馬,33,1466
20200410,埼玉,271,1934
20200410,千葉,342,1500
20200410,東京,1528,4992
20200410,神奈川,375,2203
20200410,新潟,39,1443
20200410,富山,16,602
20200410,石川,72,494
20200410,福井,72,455
20200410,山梨,24,946
20200410,長野,21,841
20200410,岐阜,76,1110
20200410,静岡,16,1389
20200410,愛知,299,3467
20200410,三重,15,861
20200410,滋賀,26,453
20200410,京都,159,1867
20200410,大阪,589,1792
20200410,兵庫,273,3496
20200410,奈良,34,509
20200410,和歌山,32,1756
20200410,鳥取,0,277
20200410,島根,1,191
20200410,岡山,16,564
20200410,広島,25,1638
20200410,山口,17,528
20200410,徳島,3,217
20200410,香川,3,441
20200410,愛媛,26,485
20200410,高知,47,709
20200410,福岡,187,3873
20200410,佐賀,11,334
20200410,長崎,14,880
20200410,熊本,23,1639
20200410,大分,41,2035
20200410,宮崎,16,545
20200410,鹿児島,3,483
20200410,沖縄,42,619
20200411,北海道,239,2690
20200411,青森,14,313
20200411,岩手,0,136
20200411,宮城,37,660
20200411,秋田,12,491
20200411,山形,27,782
20200411,福島,36,541
20200411,茨城,82,2221
20200411,栃木,31,1003
20200411,群馬,35,1490
20200411,埼玉,325,1973
20200411,千葉,375,1691
20200411,東京,1717,5660
20200411,神奈川,425,2600
20200411,新潟,41,1587
20200411,富山,23,639
20200411,石川,92,562
20200411,福井,76,511
20200411,山梨,27,1013
